CountryNumber,ISO_country,FIPS_country
27,MEX,MX
36,SAU,SA
38,TUR,TU
42,IDN,ID
2,AUS,AS
40,CHN,CH
19,SGP,SN
47,THA,TH
34,POL,PL
43,KOR,KS
9,DEU,GM
22,CHE,SZ
13,ITA,IT
25,CHL,CI
39,ARE,AE
8,FRA,FR
35,QAT,QA
17,NOR,NO
41,IND,IN
11,IRL,EI
24,BRA,BR
5,CAN,CA
15,NLD,NL
16,NZL,NZ
32,HUN,HU
4,BEL,BE
29,CZE,EZ
12,ISR,IS
30,EGY,EG
3,AUT,AU
7,FIN,FI
23,GBR,UK
33,KWT,KU
26,COL,CO
31,GRC,GR
44,MYS,MY
10,HKG,HK
20,ESP,SP
28,PER,PE
45,PHL,RP
6,DNK,DA
14,JPN,JA
37,ZAF,SF
21,SWE,SW
1,USA,US
18,PRT,PO
46,TWN,TW
