Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale,Action Name,TargetCountryName,TargetCountryCodeName,ReceivingCountryName,ReceivingCountryCodeName
20160101,1,1,1,2,45,3,0.561797753,5,Express intent to cooperate,USA,GOV,USA,BUS
20160101,1,1,1,2,1053,16,-2.380270246,-5,Deny responsibility,USA,GOV,USA,BUS
20160101,1,1,1,2,10,15,-6.219239374,0,Acknowledge or claim responsibility,USA,GOV,USA,BUS
20160101,1,1,1,2,20,1,-4.666666667,3,Make Public Statement,USA,GOV,USA,BUS
20160101,1,1,1,2,31,5,-2.564102564,5.2,Engage in Diplomatic cooperation,USA,GOV,USA,BUS
20160101,1,1,1,2,36,10,-1.412192394,4,"Make statement, not specified below",USA,GOV,USA,BUS
20160101,1,1,1,2,40,16,-1.936057928,1,Deny responsibility,USA,GOV,USA,BUS
20160101,1,1,1,2,42,2,-0.574712644,1.9,Appeal,USA,GOV,USA,BUS
20160101,1,1,1,2,43,7,-0.510704728,2.8,Provide Aid,USA,GOV,USA,BUS
20160101,1,1,1,2,57,6,-3.2,8,Engage in Material Cooperation,USA,GOV,USA,BUS
20160101,1,1,1,2,70,5,3.318584071,7,Engage in Diplomatic cooperation,USA,GOV,USA,BUS
20160101,1,1,1,2,84,2,0.331858407,7,Appeal,USA,GOV,USA,BUS
20160101,1,1,1,2,112,1,-6.349206349,-2,Make Public Statement,USA,GOV,USA,BUS
20160101,1,1,1,2,141,10,0.473684211,-6.5,"Make statement, not specified below",USA,GOV,USA,BUS
20160101,1,1,1,2,163,9,-4.222273927,-8,Investigate,USA,GOV,USA,BUS
20160102,1,1,1,2,1053,8,-1.461988304,-5,Yield,USA,GOV,USA,BUS
20160102,1,1,1,2,154,2,-3.756708408,-7.2,Appeal,USA,GOV,USA,BUS
20160102,1,1,1,2,180,10,-4.126984127,-9,"Make statement, not specified below",USA,GOV,USA,BUS
20160102,1,1,1,2,10,2,-2.48447205,0,Appeal,USA,GOV,USA,BUS
20160102,1,1,1,2,20,10,-2.714932127,3,"Make statement, not specified below",USA,GOV,USA,BUS
20160102,1,1,1,2,30,5,-2.785923754,4,Engage in Diplomatic cooperation,USA,GOV,USA,BUS
20160102,1,1,1,2,42,6,1.810440878,1.9,Engage in Material Cooperation,USA,GOV,USA,BUS
20160102,1,1,1,2,46,2,2.697841727,7,Appeal,USA,GOV,USA,BUS
20160102,1,1,1,2,51,6,-4.273504274,3.4,Engage in Material Cooperation,USA,GOV,USA,BUS
20160102,1,1,1,2,57,16,-2.129906994,8,Deny responsibility,USA,GOV,USA,BUS
20160102,1,1,1,2,70,13,3.431107212,7,Make optimistic comment,USA,GOV,USA,BUS
20160102,1,1,1,2,84,2,0.331674959,7,Appeal,USA,GOV,USA,BUS
20160102,1,1,1,2,110,2,0,-2,Appeal,USA,GOV,USA,BUS
20160102,1,1,1,2,112,2,-3.494739114,-2,Appeal,USA,GOV,USA,BUS
20160102,1,1,1,2,141,10,0.473435034,-6.5,"Make statement, not specified below",USA,GOV,USA,BUS
20160102,1,1,1,2,163,2,-4.06360424,-8,Appeal,USA,GOV,USA,BUS
20160103,1,1,1,2,231,4,-2.948402948,3.4,Consult,USA,GOV,USA,BUS
20160103,1,1,1,2,10,11,1.789847641,0,Decline comment,USA,GOV,USA,BUS
20160103,1,1,1,2,13,6,-3.697749196,0.4,Engage in Material Cooperation,USA,GOV,USA,BUS
20160103,1,1,1,2,20,42,-4.196946148,3,Make a visit,USA,GOV,USA,BUS
20160103,1,1,1,2,30,6,-3.697749196,4,Engage in Material Cooperation,USA,GOV,USA,BUS
20160103,1,1,1,2,36,10,2.24137931,4,"Make statement, not specified below",USA,GOV,USA,BUS
20160103,1,1,1,2,40,10,-0.898876404,1,"Make statement, not specified below",USA,GOV,USA,BUS
20160103,1,1,1,2,42,8,0,1.9,Yield,USA,GOV,USA,BUS
20160103,1,1,1,2,51,13,-1.193348251,3.4,Make optimistic comment,USA,GOV,USA,BUS
20160103,1,1,1,2,71,11,1.930323209,7.4,Decline comment,USA,GOV,USA,BUS
20160103,1,1,1,2,100,5,1.630434783,-5,Engage in Diplomatic cooperation,USA,GOV,USA,BUS
20160103,1,1,1,2,110,3,-1.508295626,-2,Express intent to cooperate,USA,GOV,USA,BUS
20160103,1,1,1,2,163,2,-4.118616145,-8,Appeal,USA,GOV,USA,BUS
20160104,1,1,1,2,16,2,-6.451612903,-2,Appeal,USA,GOV,USA,BUS
20160104,1,1,1,2,138,10,-1.693002257,-7,"Make statement, not specified below",USA,GOV,USA,BUS
20160104,1,1,1,2,10,46,-0.447385286,0,Engage in negotiation,USA,GOV,USA,BUS
20160104,1,1,1,2,13,11,2.188001116,0.4,Decline comment,USA,GOV,USA,BUS
20160104,1,1,1,2,20,39,-0.705678688,3,Express intent to mediate,USA,GOV,USA,BUS
20160104,1,1,1,2,30,14,-1.677192982,4,Consider policy option,USA,GOV,USA,BUS
20160104,1,1,1,2,40,3,-2.321246591,1,Express intent to cooperate,USA,GOV,USA,BUS
20160104,1,1,1,2,42,10,0,1.9,"Make statement, not specified below",USA,GOV,USA,BUS
20160104,1,1,1,2,43,4,1.015473888,2.8,Consult,USA,GOV,USA,BUS
20160104,1,1,1,2,51,17,0.30238333,3.4,Engage in symbolic act,USA,GOV,USA,BUS
20160104,1,1,1,2,70,5,3.318584071,7,Engage in Diplomatic cooperation,USA,GOV,USA,BUS
20160104,1,1,1,2,71,1,3.468208092,7.4,Make Public Statement,USA,GOV,USA,BUS
20160104,1,1,1,2,84,7,-0.801812732,7,Provide Aid,USA,GOV,USA,BUS
20160104,1,1,1,2,90,2,1.573033708,-2,Appeal,USA,GOV,USA,BUS
20160104,1,1,1,2,110,1,5.438066465,-2,Make Public Statement,USA,GOV,USA,BUS
20160104,1,1,1,2,111,8,-5.702364395,-2,Yield,USA,GOV,USA,BUS
20160104,1,1,1,2,112,3,-6.400409626,-2,Express intent to cooperate,USA,GOV,USA,BUS
20160104,1,1,1,2,141,10,0.473684211,-6.5,"Make statement, not specified below",USA,GOV,USA,BUS
20160104,1,1,1,2,173,1,-6.015037594,-5,Make Public Statement,USA,GOV,USA,BUS
20160104,1,1,1,2,190,10,-1.693002257,-10,"Make statement, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,16,2,-6.54396728,-2,Appeal,USA,GOV,USA,BUS
20160105,1,1,1,2,1043,4,-2.075226978,-5,Consult,USA,GOV,USA,BUS
20160105,1,1,1,2,138,10,-1.542111507,-7,"Make statement, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,10,30,-2.069258108,0,"Express intent to cooperate, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,12,5,-1.330798479,-0.4,Engage in Diplomatic cooperation,USA,GOV,USA,BUS
20160105,1,1,1,2,13,1,2.619047619,0.4,Make Public Statement,USA,GOV,USA,BUS
20160105,1,1,1,2,20,62,-2.134828628,3,Cooperate militarily,USA,GOV,USA,BUS
20160105,1,1,1,2,30,10,-2.5,4,"Make statement, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,36,30,-1.111507637,4,"Express intent to cooperate, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,40,31,-0.521538993,1,"Express intent to engage in material cooperation, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,51,42,1.853522452,3.4,Make a visit,USA,GOV,USA,BUS
20160105,1,1,1,2,70,5,3.318584071,7,Engage in Diplomatic cooperation,USA,GOV,USA,BUS
20160105,1,1,1,2,84,2,0.331858407,7,Appeal,USA,GOV,USA,BUS
20160105,1,1,1,2,100,10,-4.214559387,-5,"Make statement, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,112,38,-4.640068159,-2,Express intent to accept mediation,USA,GOV,USA,BUS
20160105,1,1,1,2,114,10,-2.189781022,-2,"Make statement, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,141,10,0.473684211,-6.5,"Make statement, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,172,10,-4.210526316,-5,"Make statement, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,190,20,-3.60506385,-10,"Make an appeal or request, not specified below",USA,GOV,USA,BUS
20160105,1,1,1,2,311,6,2.966101695,5.2,Engage in Material Cooperation,USA,GOV,USA,BUS
20160106,1,1,1,2,17,2,1.869158879,0,Appeal,USA,GOV,USA,BUS
20160106,1,1,1,2,1053,8,-3.969465649,-5,Yield,USA,GOV,USA,BUS
