Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale,Action Name,TargetCountryName,TargetCountryCodeName,ReceivingCountryName,ReceivingCountryCodeName
20160101,1,2,1,1,10,4,0.309681452,0,Consult,USA,BUS,USA,GOV
20160101,1,2,1,1,20,10,0.204180945,3,"Make statement, not specified below",USA,BUS,USA,GOV
20160101,1,2,1,1,36,6,-4.166666667,4,Engage in Material Cooperation,USA,BUS,USA,GOV
20160101,1,2,1,1,40,16,-1.936057928,1,Deny responsibility,USA,BUS,USA,GOV
20160101,1,2,1,1,42,12,-1.993579541,1.9,Make pessimistic comment,USA,BUS,USA,GOV
20160101,1,2,1,1,43,2,-0.574712644,2.8,Appeal,USA,BUS,USA,GOV
20160101,1,2,1,1,57,6,-3.2,8,Engage in Material Cooperation,USA,BUS,USA,GOV
20160101,1,2,1,1,130,10,-4.661654135,-4.4,"Make statement, not specified below",USA,BUS,USA,GOV
20160101,1,2,1,1,173,1,-1.694915254,-5,Make Public Statement,USA,BUS,USA,GOV
20160102,1,2,1,1,10,11,0.639414124,0,Decline comment,USA,BUS,USA,GOV
20160102,1,2,1,1,43,6,1.810440878,2.8,Engage in Material Cooperation,USA,BUS,USA,GOV
20160102,1,2,1,1,46,2,2.697841727,7,Appeal,USA,BUS,USA,GOV
20160102,1,2,1,1,51,6,1.369863014,3.4,Engage in Material Cooperation,USA,BUS,USA,GOV
20160102,1,2,1,1,57,16,-2.129906994,8,Deny responsibility,USA,BUS,USA,GOV
20160102,1,2,1,1,130,10,-1.818181818,-4.4,"Make statement, not specified below",USA,BUS,USA,GOV
20160103,1,2,1,1,20,18,-0.449438202,3,Make empathetic comment,USA,BUS,USA,GOV
20160103,1,2,1,1,36,8,-4.482758621,4,Yield,USA,BUS,USA,GOV
20160103,1,2,1,1,40,18,-1.30728134,1,Make empathetic comment,USA,BUS,USA,GOV
20160103,1,2,1,1,43,8,0,2.8,Yield,USA,BUS,USA,GOV
20160103,1,2,1,1,51,10,2.24137931,3.4,"Make statement, not specified below",USA,BUS,USA,GOV
20160103,1,2,1,1,84,5,1.542416452,7,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160103,1,2,1,1,130,20,-1.827097738,-4.4,"Make an appeal or request, not specified below",USA,BUS,USA,GOV
20160104,1,2,1,1,129,4,-4.521276596,-5,Consult,USA,BUS,USA,GOV
20160104,1,2,1,1,10,1,-0.125,0,Make Public Statement,USA,BUS,USA,GOV
20160104,1,2,1,1,20,24,-1.363074121,3,"Appeal for political reform, not specified below",USA,BUS,USA,GOV
20160104,1,2,1,1,31,10,1.423487544,5.2,"Make statement, not specified below",USA,BUS,USA,GOV
20160104,1,2,1,1,40,3,-2.321246591,1,Express intent to cooperate,USA,BUS,USA,GOV
20160104,1,2,1,1,42,4,1.015473888,1.9,Consult,USA,BUS,USA,GOV
20160104,1,2,1,1,43,10,0,2.8,"Make statement, not specified below",USA,BUS,USA,GOV
20160104,1,2,1,1,51,2,0.671892497,3.4,Appeal,USA,BUS,USA,GOV
20160104,1,2,1,1,70,11,1.221958753,7,Decline comment,USA,BUS,USA,GOV
20160104,1,2,1,1,111,1,5.517241379,-2,Make Public Statement,USA,BUS,USA,GOV
20160104,1,2,1,1,173,1,1.095890411,-5,Make Public Statement,USA,BUS,USA,GOV
20160105,1,2,1,1,23,2,0.607287449,3.4,Appeal,USA,BUS,USA,GOV
20160105,1,2,1,1,163,10,-1.744186047,-8,"Make statement, not specified below",USA,BUS,USA,GOV
20160105,1,2,1,1,186,20,-3.72686524,-10,"Make an appeal or request, not specified below",USA,BUS,USA,GOV
20160105,1,2,1,1,10,37,-2.06298703,0,Express intent to settle dispute,USA,BUS,USA,GOV
20160105,1,2,1,1,12,3,-1.302931596,-0.4,Express intent to cooperate,USA,BUS,USA,GOV
20160105,1,2,1,1,13,2,-3.806734993,0.4,Appeal,USA,BUS,USA,GOV
20160105,1,2,1,1,20,34,0.391493718,3,"Express intent to institute political reform, not specified below",USA,BUS,USA,GOV
20160105,1,2,1,1,30,18,-2.779889215,4,Make empathetic comment,USA,BUS,USA,GOV
20160105,1,2,1,1,36,26,-1.69387459,4,Appeal to others to meet or negotiate,USA,BUS,USA,GOV
20160105,1,2,1,1,40,22,-0.122793973,1,Appeal for diplomatic cooperation (such as policy support),USA,BUS,USA,GOV
20160105,1,2,1,1,51,54,-3.220094859,3.4,Grant diplomatic recognition,USA,BUS,USA,GOV
20160105,1,2,1,1,90,10,-1.680672269,-2,"Make statement, not specified below",USA,BUS,USA,GOV
20160105,1,2,1,1,100,3,-2.092050209,-5,Express intent to cooperate,USA,BUS,USA,GOV
20160105,1,2,1,1,111,20,-6.64652568,-2,"Make an appeal or request, not specified below",USA,BUS,USA,GOV
20160105,1,2,1,1,130,6,-5.240174672,-4.4,Engage in Material Cooperation,USA,BUS,USA,GOV
20160105,1,2,1,1,160,10,-1.744186047,-4,"Make statement, not specified below",USA,BUS,USA,GOV
20160105,1,2,1,1,173,6,-7.653061224,-5,Engage in Material Cooperation,USA,BUS,USA,GOV
20160106,1,2,1,1,25,6,0.272851296,-0.3,Engage in Material Cooperation,USA,BUS,USA,GOV
20160106,1,2,1,1,311,10,6.12244898,5.2,"Make statement, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,32,5,-0.256410256,4.5,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160106,1,2,1,1,163,10,-1.744186047,-8,"Make statement, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,186,16,-1.777938762,-10,Deny responsibility,USA,BUS,USA,GOV
20160106,1,2,1,1,10,29,-0.692730863,0,#N/A,USA,BUS,USA,GOV
20160106,1,2,1,1,13,10,1.62601626,0.4,"Make statement, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,20,17,-1.243543853,3,Engage in symbolic act,USA,BUS,USA,GOV
20160106,1,2,1,1,30,26,-1.79774393,4,Appeal to others to meet or negotiate,USA,BUS,USA,GOV
20160106,1,2,1,1,36,19,-2.16091954,4,Express accord,USA,BUS,USA,GOV
20160106,1,2,1,1,40,10,-1.818181818,1,"Make statement, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,43,2,1.869158879,2.8,Appeal,USA,BUS,USA,GOV
20160106,1,2,1,1,50,8,-1.475722859,3.5,Yield,USA,BUS,USA,GOV
20160106,1,2,1,1,51,82,-3.868614367,3.4,Ease political dissent,USA,BUS,USA,GOV
20160106,1,2,1,1,100,35,-3.092412339,-5,"Express intent to yield, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,110,50,-0.69957818,-2,"Engage in diplomatic cooperation, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,112,10,-3.453689168,-2,"Make statement, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,120,15,-3.179779158,-4,Acknowledge or claim responsibility,USA,BUS,USA,GOV
20160106,1,2,1,1,160,10,-1.744186047,-4,"Make statement, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,173,10,4.15704388,-5,"Make statement, not specified below",USA,BUS,USA,GOV
20160106,1,2,1,1,190,10,-7.807807808,-10,"Make statement, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,129,5,-0.904977376,-5,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160107,1,2,1,1,10,34,-0.571630558,0,"Express intent to institute political reform, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,20,40,-0.687379116,3,"Consult, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,30,10,-0.421940928,4,"Make statement, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,36,21,-0.767569887,4,"Appeal for material cooperation, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,40,30,1.020316477,1,"Express intent to cooperate, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,42,21,-1.063442319,1.9,"Appeal for material cooperation, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,43,20,0.104994942,2.8,"Make an appeal or request, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,51,31,1.216196265,3.4,"Express intent to engage in material cooperation, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,57,6,-1.405975395,8,Engage in Material Cooperation,USA,BUS,USA,GOV
20160107,1,2,1,1,60,12,-2.29317852,6,Make pessimistic comment,USA,BUS,USA,GOV
20160107,1,2,1,1,80,10,-4.497354497,5,"Make statement, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,90,2,-0.765957447,-2,Appeal,USA,BUS,USA,GOV
20160107,1,2,1,1,100,15,-4.482349547,-5,Acknowledge or claim responsibility,USA,BUS,USA,GOV
20160107,1,2,1,1,110,25,-2.379811344,-2,"Appeal to yield, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,111,10,-3.128621089,-2,"Make statement, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,112,16,-3.59411292,-2,Deny responsibility,USA,BUS,USA,GOV
20160107,1,2,1,1,120,30,-1.914647675,-4,"Express intent to cooperate, not specified below",USA,BUS,USA,GOV
20160107,1,2,1,1,190,16,-0.153408058,-10,Deny responsibility,USA,BUS,USA,GOV
20160108,1,2,1,1,23,2,1.030927835,3.4,Appeal,USA,BUS,USA,GOV
20160108,1,2,1,1,26,15,-4.028114419,4,Acknowledge or claim responsibility,USA,BUS,USA,GOV
20160108,1,2,1,1,37,6,-1.384083045,5,Engage in Material Cooperation,USA,BUS,USA,GOV
20160108,1,2,1,1,64,8,-1.98019802,7,Yield,USA,BUS,USA,GOV
20160108,1,2,1,1,125,4,-3.397937482,-5,Consult,USA,BUS,USA,GOV
20160108,1,2,1,1,141,2,5.220883534,-6.5,Appeal,USA,BUS,USA,GOV
20160108,1,2,1,1,191,1,-0.954653938,-9.5,Make Public Statement,USA,BUS,USA,GOV
20160108,1,2,1,1,10,37,-1.319965219,0,Express intent to settle dispute,USA,BUS,USA,GOV
20160108,1,2,1,1,12,12,-3.702917223,-0.4,Make pessimistic comment,USA,BUS,USA,GOV
20160108,1,2,1,1,20,25,1.532399541,3,"Appeal to yield, not specified below",USA,BUS,USA,GOV
20160108,1,2,1,1,30,10,-2.857142857,4,"Make statement, not specified below",USA,BUS,USA,GOV
20160108,1,2,1,1,31,4,4.700854701,5.2,Consult,USA,BUS,USA,GOV
20160108,1,2,1,1,36,8,-2.460687245,4,Yield,USA,BUS,USA,GOV
20160108,1,2,1,1,40,24,-2.924984563,1,"Appeal for political reform, not specified below",USA,BUS,USA,GOV
20160108,1,2,1,1,42,6,-0.50955414,1.9,Engage in Material Cooperation,USA,BUS,USA,GOV
20160108,1,2,1,1,43,2,2.891728312,2.8,Appeal,USA,BUS,USA,GOV
20160108,1,2,1,1,46,8,5.128415862,7,Yield,USA,BUS,USA,GOV
20160108,1,2,1,1,50,20,0.643776824,3.5,"Make an appeal or request, not specified below",USA,BUS,USA,GOV
20160108,1,2,1,1,51,20,1.115941562,3.4,"Make an appeal or request, not specified below",USA,BUS,USA,GOV
20160108,1,2,1,1,70,10,3.225806452,7,"Make statement, not specified below",USA,BUS,USA,GOV
20160108,1,2,1,1,90,8,-5.546218487,-2,Yield,USA,BUS,USA,GOV
20160108,1,2,1,1,100,5,-3.694581281,-5,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160108,1,2,1,1,120,15,-0.418994413,-4,Acknowledge or claim responsibility,USA,BUS,USA,GOV
20160108,1,2,1,1,128,16,0,-5,Deny responsibility,USA,BUS,USA,GOV
20160108,1,2,1,1,190,6,-2.387267905,-10,Engage in Material Cooperation,USA,BUS,USA,GOV
20160108,1,2,1,1,193,5,-4.282655246,-10,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160109,1,2,1,1,26,5,-4.174950298,4,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160109,1,2,1,1,33,10,1.500938086,5.2,"Make statement, not specified below",USA,BUS,USA,GOV
20160109,1,2,1,1,64,8,-1.799485861,7,Yield,USA,BUS,USA,GOV
20160109,1,2,1,1,186,2,-5.164319249,-10,Appeal,USA,BUS,USA,GOV
20160109,1,2,1,1,10,10,0.19193858,0,"Make statement, not specified below",USA,BUS,USA,GOV
20160109,1,2,1,1,12,10,-3.907637596,-0.400000006,"Make statement, not specified below",USA,BUS,USA,GOV
20160109,1,2,1,1,30,16,-3.050978296,4,Deny responsibility,USA,BUS,USA,GOV
20160109,1,2,1,1,40,10,-2.412380337,1,"Make statement, not specified below",USA,BUS,USA,GOV
20160109,1,2,1,1,43,2,2.693266833,2.8,Appeal,USA,BUS,USA,GOV
20160109,1,2,1,1,46,4,5.315614618,7,Consult,USA,BUS,USA,GOV
20160109,1,2,1,1,50,10,0.64516129,3.5,"Make statement, not specified below",USA,BUS,USA,GOV
20160109,1,2,1,1,61,10,1.274787535,6.4,"Make statement, not specified below",USA,BUS,USA,GOV
20160109,1,2,1,1,70,10,0.376411543,7,"Make statement, not specified below",USA,BUS,USA,GOV
20160109,1,2,1,1,71,10,0.376411543,7.4,"Make statement, not specified below",USA,BUS,USA,GOV
20160109,1,2,1,1,110,4,-3.381642512,-2,Consult,USA,BUS,USA,GOV
20160109,1,2,1,1,120,5,-2.267573696,-4,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160110,1,2,1,1,25,2,-2.852852853,-0.3,Appeal,USA,BUS,USA,GOV
20160110,1,2,1,1,35,2,2.669039146,7,Appeal,USA,BUS,USA,GOV
20160110,1,2,1,1,10,10,-0.38071066,0,"Make statement, not specified below",USA,BUS,USA,GOV
20160110,1,2,1,1,36,5,-2.311114317,4,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160110,1,2,1,1,40,2,-4.829545455,1,Appeal,USA,BUS,USA,GOV
20160110,1,2,1,1,42,10,-1.754385965,1.9,"Make statement, not specified below",USA,BUS,USA,GOV
20160110,1,2,1,1,43,5,-1.587038689,2.8,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160110,1,2,1,1,46,2,-4.829545455,7,Appeal,USA,BUS,USA,GOV
20160110,1,2,1,1,50,10,-1.939655172,3.5,"Make statement, not specified below",USA,BUS,USA,GOV
20160110,1,2,1,1,51,6,-2.560240964,3.4,Engage in Material Cooperation,USA,BUS,USA,GOV
20160110,1,2,1,1,70,10,-1.851501984,7,"Make statement, not specified below",USA,BUS,USA,GOV
20160110,1,2,1,1,110,10,-0.613496933,-2,"Make statement, not specified below",USA,BUS,USA,GOV
20160110,1,2,1,1,112,6,-1.840490798,-2,Engage in Material Cooperation,USA,BUS,USA,GOV
20160111,1,2,1,1,26,5,-2.356902357,4,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160111,1,2,1,1,331,1,5.526315789,5.2,Make Public Statement,USA,BUS,USA,GOV
20160111,1,2,1,1,64,8,-1.677852349,7,Yield,USA,BUS,USA,GOV
20160111,1,2,1,1,180,6,-6.237623762,-9,Engage in Material Cooperation,USA,BUS,USA,GOV
20160111,1,2,1,1,10,10,0.23364486,0,"Make statement, not specified below",USA,BUS,USA,GOV
20160111,1,2,1,1,20,10,-2.587176603,3,"Make statement, not specified below",USA,BUS,USA,GOV
20160111,1,2,1,1,30,6,-2.994555354,4,Engage in Material Cooperation,USA,BUS,USA,GOV
20160111,1,2,1,1,36,5,-1.16150682,4,Engage in Diplomatic cooperation,USA,BUS,USA,GOV
20160111,1,2,1,1,40,1,-7.552320291,1,Make Public Statement,USA,BUS,USA,GOV
20160111,1,2,1,1,42,4,0.280898876,1.9,Consult,USA,BUS,USA,GOV
20160111,1,2,1,1,46,1,4.871794872,7,Make Public Statement,USA,BUS,USA,GOV
20160111,1,2,1,1,50,10,1.486988848,3.5,"Make statement, not specified below",USA,BUS,USA,GOV
20160111,1,2,1,1,51,2,4.411764706,3.4,Appeal,USA,BUS,USA,GOV
20160111,1,2,1,1,70,12,1.262135922,7,Make pessimistic comment,USA,BUS,USA,GOV
20160111,1,2,1,1,100,10,-3.714020427,-5,"Make statement, not specified below",USA,BUS,USA,GOV
