,YearMonth,ReceivingCountry,TotalArticleCount,TotalActionCount,AvgSentiment,Wei_AvgTone
0,2011-07,MEX,6,1,-14.63414634,-14.63414634
1,2012-06,CHN,10,1,0.483870968,0.483870968
2,2014-02,CAN,10,1,-3.805774278,-3.805774278
3,2014-02,CHN,20,4,0.04153029175000006,0.9448645203
4,2014-02,IND,5,1,1.156069364,1.156069364
5,2014-02,ISR,5,1,-3.767123288,-3.7671232879999996
6,2014-02,JPN,6,1,-5.590062112,-5.590062112000001
7,2014-02,MEX,2,1,-3.130755064,-3.130755064
8,2014-02,THA,1,1,3.428571429,3.428571429
9,2014-03,CAN,16,2,-1.1346245815,-0.9525944523750001
10,2014-03,CHN,35,6,-1.7870584245000003,-1.9617242906571428
11,2014-03,COL,10,1,5.470459519,5.470459519
12,2014-03,ESP,4,1,2.033271719,2.033271719
13,2014-03,GBR,8,1,-1.843317972,-1.843317972
14,2014-03,IRL,2,1,0.135808058,0.135808058
15,2014-03,ISR,6,1,-3.642825981,-3.642825981
16,2014-03,JPN,70,4,4.08600254875,3.635393194142857
17,2014-03,KOR,8,1,0.663716814,0.663716814
18,2014-03,NZL,20,1,1.228814558,1.228814558
19,2014-03,TUR,6,1,-3.039750585,-3.039750585
20,2014-04,EGY,10,1,-0.531914894,-0.531914894
21,2014-04,GBR,20,2,-0.549450549,-0.549450549
22,2014-04,IDN,10,1,2.33463035,2.33463035
23,2014-04,IND,8,1,4.736842105,4.736842105
24,2014-04,ISR,13,2,-0.14881555000000002,0.9103368789230769
25,2014-04,ITA,5,1,-3.278688525,-3.2786885250000006
26,2014-04,KOR,6,2,-0.715434876,-0.8388383693333332
27,2014-04,MEX,2,1,-5.693950178,-5.693950178
28,2014-05,CHN,6,2,-0.5619750314999999,-0.5619750314999999
29,2014-05,DEU,18,2,1.99171359,1.9922645481111114
30,2014-05,IRL,10,1,0.891265597,0.891265597
31,2014-05,JPN,10,1,1.630434783,1.630434783
32,2014-05,PHL,10,1,1.120448179,1.120448179
33,2014-05,SAU,5,1,-2.055800294,-2.055800294
34,2014-05,THA,8,1,-6.569343066,-6.569343066
35,2014-06,EGY,36,4,-7.667016899,-7.706965928333334
36,2014-06,ESP,8,1,2.643171806,2.643171806
37,2014-06,GBR,12,3,0.28661013966666665,0.4028259543333333
38,2014-06,IRL,30,3,-1.0069375433333334,-1.0069375433333336
39,2014-06,NZL,20,2,0.0,0.0
40,2014-06,THA,6,3,3.2388663970000002,3.2388663970000002
41,2014-07,CHE,4,4,-8.70681009125,-8.70681009125
42,2014-07,CHN,25,5,-7.5852591356,-7.33657781556
43,2014-07,DNK,8,1,-1.147028154,-1.147028154
44,2014-07,ESP,2,1,0.0,0.0
45,2014-07,FRA,6,1,3.755364807,3.755364807
46,2014-07,IND,15,1,4.159239453,4.159239453
47,2014-07,IRL,20,1,-0.709219858,-0.709219858
48,2014-07,ISR,20,2,-5.581395349,-5.581395349
49,2014-07,PER,12,3,-1.8466693383333332,-1.8466693383333332
50,2014-07,SAU,6,2,-2.4544041705,-2.099518366
51,2014-07,ZAF,12,2,2.4132359340000002,2.4956262513333334
52,2014-08,CHN,28,4,-2.64983442375,-2.6337987967142857
53,2014-08,FRA,2,1,-1.5625,-1.5625
54,2014-08,GBR,10,1,2.325581395,2.325581395
55,2014-08,IND,14,2,3.0886910615,3.781773043571428
56,2014-08,ISR,8,1,-3.099017385,-3.099017385
57,2014-08,MEX,12,2,-2.9822355485,-0.8887599274999999
58,2014-09,BRA,3,1,2.582496413,2.582496413
59,2014-09,CHE,9,2,-6.60408289,-6.474347363333333
60,2014-09,CHN,31,5,1.0793566392000002,2.2341153737419353
61,2014-09,DEU,16,3,-4.818582176666667,-3.742292097
62,2014-09,ESP,34,4,0.95009157525,1.0129576307647057
63,2014-09,IND,17,2,-1.229600794,-1.7460544100588233
64,2014-09,ITA,1,1,-3.962703963,-3.962703963
65,2014-09,SAU,14,2,3.263068328,3.046447837
66,2014-10,AUS,10,1,-3.374233129,-3.3742331289999994
67,2014-10,CHN,6,1,-1.183431953,-1.183431953
68,2014-10,GRC,10,1,-1.432408236,-1.432408236
69,2014-10,IND,6,1,1.901140684,1.9011406840000002
70,2014-10,JPN,3,1,-0.996677741,-0.996677741
71,2014-10,MYS,2,1,1.224489796,1.224489796
72,2014-10,NZL,8,1,-3.501945525,-3.501945525
73,2014-10,SGP,6,1,1.224489796,1.224489796
74,2014-10,TUR,6,1,-4.647676162,-4.647676162
