Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale,Action Name
20160101,1,2,2,2,194,6,-1.06870229,-10,Fight with artillery and tanks
20160101,1,2,40,2,1711,6,-3.453689168,-9.2,Confiscate property
20160102,1,2,31,2,90,6,1.766784452,-2,"Investigate, not specified below"
20160102,1,2,23,2,172,1,-2.301790281,-5,"Impose administrative sanctions, not specified below"
20160103,1,2,45,2,10,4,-2.422145329,0,"Make statement, not specified below"
20160103,1,2,41,2,46,5,1.058201058,7,Engage in negotiation
20160103,1,2,23,2,172,1,-2.301790281,-5,"Impose administrative sanctions, not specified below"
20160104,1,2,45,2,10,4,-4.191616766,0,"Make statement, not specified below"
20160104,1,2,41,2,46,5,2.264150943,7,Engage in negotiation
20160105,1,2,5,2,60,20,-3.294838264,6,"Engage in material cooperation, not specified below"
20160105,1,2,40,2,71,10,1.97740113,7.4,Provide economic aid
20160106,1,2,22,2,356,10,-0.392156863,7,Express intent to de-escalate military engagement
20160106,1,2,45,2,10,2,-0.956022945,0,"Make statement, not specified below"
20160106,1,2,12,2,61,6,0.251046025,6.4,Cooperate economically
20160106,1,2,36,2,71,10,1.179941003,7.4,Provide economic aid
20160106,1,2,40,2,80,6,-0.550964187,5,"Yield, not specified below"
20160106,1,2,2,2,90,10,-1.287553648,-2,"Investigate, not specified below"
20160108,1,2,2,2,194,6,-0.483675937,-10,Fight with artillery and tanks
20160108,1,2,23,2,62,5,1.326899879,7.4,Cooperate militarily
20160108,1,2,15,2,51,5,1.326899879,3.4,Praise or endorse
20160108,1,2,40,2,61,6,1.702786378,6.4,Cooperate economically
20160109,1,2,12,2,42,4,-2.06185567,1.9,Make a visit
20160110,1,2,2,2,194,6,-0.580551524,-10,Fight with artillery and tanks
20160110,1,2,12,2,42,12,-2.51572327,1.9,Make a visit
20160110,1,2,27,2,46,6,0.775862069,7,Engage in negotiation
20160110,1,2,19,2,80,8,1.661019239,5,"Yield, not specified below"
20160110,1,2,9,2,100,6,-2.325581395,-5,"Demand, not specified below"
20160111,1,2,30,2,115,6,-5.504587156,-2,Bring lawsuit against
20160111,1,2,5,2,14,6,3.253424658,0,Consider policy option
20160111,1,2,19,2,80,4,1.421800948,5,"Yield, not specified below"
20160112,1,2,8,2,10,8,0.704225352,0,"Make statement, not specified below"
20160112,1,2,11,2,84,2,-11.49425287,7,"Return, release, not specified below"
20160113,1,2,5,2,331,10,3.67816092,5.2,Express intent to provide economic aid
20160113,1,2,8,2,10,8,0.764818356,0,"Make statement, not specified below"
20160113,1,2,30,2,10,2,-4.468085106,0,"Make statement, not specified below"
20160113,1,2,23,2,36,4,-4.015151515,4,Express intent to meet or negotiate
20160113,1,2,5,2,60,1,0.862068966,6,"Engage in material cooperation, not specified below"
20160113,1,2,14,2,71,6,1.129943503,7.4,Provide economic aid
20160113,1,2,7,2,80,5,0.034494653,5,"Yield, not specified below"
20160113,1,2,12,2,160,15,-4.143754144,-4,"Reduce relations, not specified below"
20160113,1,2,12,2,311,2,-4.020100503,5.2,Express intent to cooperate economically
20160114,1,2,5,2,10,6,-2.888086643,0,"Make statement, not specified below"
20160114,1,2,5,2,50,10,-0.37593985,3.5,"Engage in diplomatic cooperation, not specified below"
20160114,1,2,23,2,51,6,-2.067183463,3.4,Praise or endorse
20160114,1,2,23,2,57,6,7.490636704,8,Sign formal agreement
20160114,1,2,25,2,57,6,2.933333333,8,Sign formal agreement
20160114,1,2,14,2,61,3,3.03030303,6.4,Cooperate economically
20160115,1,2,8,2,10,8,0.530973451,0,"Make statement, not specified below"
20160115,1,2,5,2,50,5,0.4,3.5,"Engage in diplomatic cooperation, not specified below"
20160115,1,2,23,2,57,13,3.429315911,8,Sign formal agreement
20160115,1,2,25,2,57,6,2.933333333,8,Sign formal agreement
20160115,1,2,23,2,100,12,-3.622090711,-5,"Demand, not specified below"
20160115,1,2,2,2,190,1,-2.97029703,-10,"Use conventional military force, not specified below"
20160115,1,2,23,2,190,2,0.796178344,-10,"Use conventional military force, not specified below"
20160116,1,2,23,2,57,10,3.225806452,8,Sign formal agreement
20160116,1,2,25,2,57,6,0.56323031,8,Sign formal agreement
20160116,1,2,35,2,130,12,-3.151862464,-4.4,"Threaten, not specified below"
20160116,1,2,2,2,190,2,0,-10,"Use conventional military force, not specified below"
20160117,1,2,12,2,311,10,-2.893890675,5.2,Express intent to cooperate economically
20160118,1,2,2,2,36,6,1.19047619,4,Express intent to meet or negotiate
20160118,1,2,14,2,57,4,2.395209581,8,Sign formal agreement
20160118,1,2,40,2,57,10,0.260090738,8,Sign formal agreement
20160118,1,2,40,2,84,6,-0.956937799,7,"Return, release, not specified below"
20160118,1,2,24,2,111,6,-0.294117647,-2,Criticize or denounce
20160119,1,2,9,2,42,4,-4.782608696,1.9,Make a visit
20160119,1,2,23,2,57,6,6.034482759,8,Sign formal agreement
20160119,1,2,40,2,57,5,3.125,8,Sign formal agreement
20160120,1,2,41,2,46,2,4.991680532,7,Engage in negotiation
20160120,1,2,13,2,50,6,-3,3.5,"Engage in diplomatic cooperation, not specified below"
20160121,1,2,37,2,130,10,-2.955665025,-4.4,"Threaten, not specified below"
20160122,1,2,24,2,12,6,-3.986135182,-0.4,Make pessimistic comment
20160122,1,2,22,2,20,3,0,3,"Make an appeal or request, not specified below"
20160122,1,2,46,2,20,51,-0.329151722,3,"Make an appeal or request, not specified below"
20160123,1,2,21,2,57,10,1.119402985,8,Sign formal agreement
20160123,1,2,24,2,311,8,2.140672783,5.2,Express intent to cooperate economically
20160124,1,2,8,2,50,12,-0.752237136,3.5,"Engage in diplomatic cooperation, not specified below"
20160124,1,2,23,2,71,4,-7.179487179,7.4,Provide economic aid
20160125,1,2,12,2,831,1,-2.187902188,5,Accede to demands for change in leadership
20160125,1,2,40,2,33,12,5.766964245,5.2,"Express intent to provide material aid, not specified below"
20160125,1,2,14,2,61,18,1.136922321,6.4,Cooperate economically
20160125,1,2,40,2,71,12,5.766964245,7.4,Provide economic aid
20160125,1,2,9,2,111,2,-0.474683544,-2,Criticize or denounce
20160125,1,2,40,2,114,2,-1.257861635,-2,Complain officially
20160126,1,2,14,2,125,5,-5.579399142,-5,"Reject proposal to meet, discuss, or negotiate"
20160126,1,2,13,2,42,2,3.597122302,1.9,Make a visit
20160126,1,2,14,2,61,3,2.197802198,6.4,Cooperate economically
20160127,1,2,5,2,20,4,-2.054794521,3,"Make an appeal or request, not specified below"
20160127,1,2,14,2,20,6,-3.90625,3,"Make an appeal or request, not specified below"
20160127,1,2,43,2,51,8,1.875,3.4,Praise or endorse
20160127,1,2,23,2,130,8,-0.442477876,-4.4,"Threaten, not specified below"
20160128,1,2,11,2,20,10,2.387267905,3,"Make an appeal or request, not specified below"
20160128,1,2,23,2,30,1,0.379403794,4,"Express intent to cooperate, not specified below"
20160128,1,2,12,2,43,2,-1.188455008,2.8,Host a visit
20160128,1,2,17,2,43,1,2.380952381,2.8,Host a visit
20160128,1,2,5,2,51,10,0.129366106,3.4,Praise or endorse
20160128,1,2,17,2,51,3,4.823338426,3.4,Praise or endorse
20160128,1,2,23,2,51,1,0.379403794,3.4,Praise or endorse
20160128,1,2,38,2,57,9,6.962294722,8,Sign formal agreement
20160128,1,2,40,2,80,6,0.24691358,5,"Yield, not specified below"
20160128,1,2,23,2,130,8,-0.847457627,-4.4,"Threaten, not specified below"
20160128,1,2,8,2,173,10,-7.832898172,-5,"Arrest, detain, or charge with legal action"
20160129,1,2,40,2,12,6,-0.122399021,-0.4,Make pessimistic comment
20160129,1,2,8,2,20,3,-3.092783505,3,"Make an appeal or request, not specified below"
20160129,1,2,23,2,20,1,-3.092783505,3,"Make an appeal or request, not specified below"
20160129,1,2,38,2,57,10,8.225394308,8,Sign formal agreement
