Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale,Action Name
20160101,1,1,8,2,20,1,-4.534606205,3,"Make an appeal or request, not specified below"
20160101,1,1,2,2,31,10,0,5.2,"Express intent to engage in material cooperation, not specified below"
20160101,1,1,39,2,163,12,-1.981516291,-8,"Impose embargo, boycott, or sanctions"
20160103,1,1,40,2,40,5,-2.636203866,1,"Consult, not specified below"
20160103,1,1,22,2,71,3,-2.196969697,7.4,Provide economic aid
20160104,1,1,9,2,115,6,-3.169572108,-2,Bring lawsuit against
20160104,1,1,16,2,10,1,-2.777777778,0,"Make statement, not specified below"
20160104,1,1,15,2,20,4,-4.595641615,3,"Make an appeal or request, not specified below"
20160104,1,1,8,2,31,10,1.423487544,5.2,"Express intent to engage in material cooperation, not specified below"
20160104,1,1,8,2,36,3,-6.23556582,4,Express intent to meet or negotiate
20160104,1,1,9,2,112,6,-3.169572108,-2,"Accuse, not specified below"
20160105,1,1,23,2,1043,6,-2.075226978,-5,Demand rights
20160105,1,1,27,2,10,2,0.182815356,0,"Make statement, not specified below"
20160105,1,1,8,2,12,3,0,-0.4,Make pessimistic comment
20160105,1,1,20,2,20,10,-2.388059701,3,"Make an appeal or request, not specified below"
20160105,1,1,27,2,20,2,0.182815356,3,"Make an appeal or request, not specified below"
20160105,1,1,9,2,30,4,-3.298350825,4,"Express intent to cooperate, not specified below"
20160105,1,1,5,2,31,10,3.830911493,5.2,"Express intent to engage in material cooperation, not specified below"
20160105,1,1,5,2,36,2,3.812316716,4,Express intent to meet or negotiate
20160105,1,1,9,2,40,10,-4.790419162,1,"Consult, not specified below"
20160105,1,1,23,2,100,10,-3.368421053,-5,"Demand, not specified below"
20160106,1,1,22,2,170,6,-3.108188882,-7,"Coerce, not specified below"
20160106,1,1,9,2,30,4,-3.140096618,4,"Express intent to cooperate, not specified below"
20160106,1,1,22,2,90,9,0.546648003,-2,"Investigate, not specified below"
20160106,1,1,15,2,110,1,2.588996764,-2,"Disapprove, not specified below"
20160106,1,1,9,2,112,6,-2.542372881,-2,"Accuse, not specified below"
20160106,1,1,23,2,114,2,-3.112840467,-2,Complain officially
20160107,1,1,37,2,26,8,1.260504202,4,Appeal to others to meet or negotiate
20160107,1,1,5,2,20,6,-5.050505051,3,"Make an appeal or request, not specified below"
20160107,1,1,9,2,40,10,-2.547770701,1,"Consult, not specified below"
20160107,1,1,37,2,40,8,1.260504202,1,"Consult, not specified below"
20160107,1,1,2,2,43,6,-0.19379845,2.8,Host a visit
20160108,1,1,22,2,170,6,-3.108188882,-7,"Coerce, not specified below"
20160108,1,1,23,2,20,10,-5.263157895,3,"Make an appeal or request, not specified below"
20160108,1,1,8,2,42,6,-4.317789292,1.9,Make a visit
20160108,1,1,24,2,43,10,9.390862944,2.8,Host a visit
20160108,1,1,23,2,46,10,-0.283286119,7,Engage in negotiation
20160108,1,1,37,2,51,5,-3.821656051,3.4,Praise or endorse
20160108,1,1,40,2,51,10,2.459016393,3.4,Praise or endorse
20160108,1,1,9,2,111,12,-5.548297187,-2,Criticize or denounce
