Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale,Action Name
20160103,1,2,9,1,111,10,-1.851851852,-2,Criticize or denounce
20160105,1,2,15,1,51,28,0.024096764,3.4,Praise or endorse
20160106,1,2,12,1,40,4,3.974895397,1,"Consult, not specified below"
20160106,1,2,12,1,120,2,1.43442623,-4,"Reject, not specified below"
20160106,1,2,27,1,46,2,3.614457831,7,Engage in negotiation
20160107,1,2,5,1,43,5,-0.278551532,2.8,Host a visit
20160107,1,2,5,1,51,9,1.126760563,3.4,Praise or endorse
20160107,1,2,13,1,46,6,3.5639413,7,Engage in negotiation
20160107,1,2,14,1,51,6,-9.361702128,3.4,Praise or endorse
20160107,1,2,40,1,10,2,2.03562341,0,"Make statement, not specified below"
20160108,1,2,8,1,40,4,0.757575758,1,"Consult, not specified below"
20160109,1,2,27,1,40,10,-3.631961259,1,"Consult, not specified below"
20160109,1,2,27,1,46,4,0.190114066,7,Engage in negotiation
20160110,1,2,23,1,831,1,1.037613489,5,Accede to demands for change in leadership
20160110,1,2,27,1,10,1,-1.551189245,0,"Make statement, not specified below"
20160110,1,2,27,1,40,4,-2.658227848,1,"Consult, not specified below"
20160111,1,2,5,1,120,4,1.54373928,-4,"Reject, not specified below"
20160111,1,2,19,1,46,3,2.598870056,7,Engage in negotiation
20160111,1,2,23,1,12,5,-4.232804233,-0.4,Make pessimistic comment
20160112,1,2,9,1,51,3,-7.917888563,3.4,Praise or endorse
20160112,1,2,27,1,130,6,-3.799814643,-4.4,"Threaten, not specified below"
20160112,1,2,41,1,60,6,3.120936281,6,"Engage in material cooperation, not specified below"
20160113,1,2,19,1,46,3,2.552719201,7,Engage in negotiation
20160113,1,2,27,1,130,6,-4.340704341,-4.4,"Threaten, not specified below"
20160114,1,2,8,1,190,10,-8.737864078,-10,"Use conventional military force, not specified below"
20160114,1,2,22,1,10,10,0.253164557,0,"Make statement, not specified below"
20160115,1,2,5,1,30,10,-0.702576112,4,"Express intent to cooperate, not specified below"
20160115,1,2,27,1,71,10,-3.554868624,7.4,Provide economic aid
20160116,1,2,27,1,71,10,-4.206500956,7.4,Provide economic aid
20160117,1,2,5,1,10,4,2.47148289,0,"Make statement, not specified below"
20160117,1,2,27,1,71,10,-3.558718861,7.4,Provide economic aid
20160118,1,2,20,1,90,6,-1.673640167,-2,"Investigate, not specified below"
20160118,1,2,27,1,71,10,-3.74015748,7.4,Provide economic aid
20160119,1,2,2,1,40,4,0.810810811,1,"Consult, not specified below"
20160119,1,2,2,1,43,4,0.810810811,2.8,Host a visit
20160119,1,2,8,1,112,10,-6.02006689,-2,"Accuse, not specified below"
20160119,1,2,26,1,42,10,-1.396648045,1.9,Make a visit
20160119,1,2,40,1,40,16,0.810810811,1,"Consult, not specified below"
20160119,1,2,40,1,43,16,0.810810811,2.8,Host a visit
20160120,1,2,2,1,40,2,0.810810811,1,"Consult, not specified below"
20160120,1,2,2,1,43,2,0.810810811,2.8,Host a visit
20160120,1,2,9,1,10,2,-4.074585635,0,"Make statement, not specified below"
20160120,1,2,12,1,40,3,5.665024631,1,"Consult, not specified below"
20160120,1,2,13,1,18,6,1.086956522,3.4,Make empathetic comment
20160120,1,2,28,1,20,6,-0.142857143,3,"Make an appeal or request, not specified below"
20160120,1,2,32,1,40,3,2.459016393,1,"Consult, not specified below"
20160120,1,2,40,1,40,8,0.810810811,1,"Consult, not specified below"
20160120,1,2,40,1,43,8,0.810810811,2.8,Host a visit
20160121,1,2,9,1,10,2,-4.163775156,0,"Make statement, not specified below"
20160121,1,2,12,1,43,6,0.909090909,2.8,Host a visit
20160122,1,2,8,1,112,10,-6.02006689,-2,"Accuse, not specified below"
20160122,1,2,12,1,43,6,0.569259962,2.8,Host a visit
20160122,1,2,13,1,36,10,0.815217376,4,Express intent to meet or negotiate
20160124,1,2,5,1,10,8,2.330097087,0,"Make statement, not specified below"
20160125,1,2,5,1,51,6,-0.41322314,3.4,Praise or endorse
20160125,1,2,13,1,51,12,0.780038795,3.4,Praise or endorse
20160125,1,2,20,1,43,10,1.304753029,2.8,Host a visit
20160125,1,2,20,1,57,6,5.766964245,8,Sign formal agreement
20160126,1,2,23,1,31,5,0.871459695,5.2,"Express intent to engage in material cooperation, not specified below"
20160126,1,2,24,1,36,6,0.588235294,4,Express intent to meet or negotiate
20160126,1,2,24,1,40,6,0.588235294,1,"Consult, not specified below"
20160127,1,2,8,1,10,10,0.874635569,0,"Make statement, not specified below"
20160127,1,2,8,1,26,10,0.874635569,4,Appeal to others to meet or negotiate
20160127,1,2,8,1,40,10,0.874635569,1,"Consult, not specified below"
20160127,1,2,9,1,90,2,-2.267002519,-2,"Investigate, not specified below"
20160127,1,2,23,1,51,10,5.747126437,3.4,Praise or endorse
20160127,1,2,27,1,90,2,0.657894737,-2,"Investigate, not specified below"
20160127,1,2,42,1,10,3,-2.73556231,0,"Make statement, not specified below"
20160127,1,2,42,1,30,3,-2.73556231,4,"Express intent to cooperate, not specified below"
20160128,1,2,8,1,10,10,0.859598854,0,"Make statement, not specified below"
20160128,1,2,8,1,26,10,0.859598854,4,Appeal to others to meet or negotiate
20160128,1,2,8,1,40,10,0.859598854,1,"Consult, not specified below"
20160128,1,2,12,1,42,8,0,1.9,Make a visit
20160128,1,2,13,1,46,1,3.614457831,7,Engage in negotiation
20160128,1,2,15,1,51,17,-0.210447592,3.4,Praise or endorse
20160128,1,2,42,1,10,3,-4.609929078,0,"Make statement, not specified below"
20160128,1,2,42,1,30,3,-4.609929078,4,"Express intent to cooperate, not specified below"
20160129,1,2,27,1,193,3,0,-10,Fight with small arms and light weapons
20160130,1,2,5,1,50,8,-2.209302326,3.5,"Engage in diplomatic cooperation, not specified below"
20160131,1,2,5,1,10,4,2.824858757,0,"Make statement, not specified below"
20160131,1,2,5,1,120,4,2.276707531,-4,"Reject, not specified below"
20160201,1,2,8,1,10,6,-0.181818182,0,"Make statement, not specified below"
20160201,1,2,21,1,110,10,-1.62412993,-2,"Disapprove, not specified below"
20160201,1,2,40,1,43,3,3.4,2.8,Host a visit
20160202,1,2,9,1,13,2,-2.057613169,0.4,Make optimistic comment
20160202,1,2,21,1,110,6,-1.576576577,-2,"Disapprove, not specified below"
20160202,1,2,27,1,110,4,-1.576576577,-2,"Disapprove, not specified below"
20160202,1,2,41,1,61,3,3.463687181,6.400000095,Cooperate economically
20160203,1,2,2,1,50,12,-2.459428656,3.5,"Engage in diplomatic cooperation, not specified below"
20160203,1,2,2,1,111,12,-2.425071984,-2,Criticize or denounce
20160203,1,2,9,1,13,2,-1.815642458,0.4,Make optimistic comment
20160203,1,2,16,1,40,5,2.564102564,1,"Consult, not specified below"
20160203,1,2,26,1,36,1,-0.545702592,4,Express intent to meet or negotiate
20160203,1,2,26,1,42,1,-0.545702592,1.9,Make a visit
20160204,1,2,2,1,50,6,-3.02061123,3.5,"Engage in diplomatic cooperation, not specified below"
20160204,1,2,16,1,57,10,3.846153846,8,Sign formal agreement
20160206,1,2,15,1,51,10,-0.206896552,3.4,Praise or endorse
20160207,1,2,5,1,43,5,-2.761982128,2.8,Host a visit
20160207,1,2,40,1,42,3,-1.179673321,1.9,Make a visit
20160208,1,2,40,1,10,1,0.367647059,0,"Make statement, not specified below"
20160208,1,2,40,1,46,3,-1.022494888,7,Engage in negotiation
20160209,1,2,9,1,43,6,1.943634597,2.8,Host a visit
20160209,1,2,45,1,100,8,1.257861635,-5,"Demand, not specified below"
20160210,1,2,5,1,43,5,-2.286902287,2.8,Host a visit
20160210,1,2,8,1,141,6,-6.511627907,-6.5,"Demonstrate or rally, not specified below"
20160211,1,2,23,1,51,12,-2.757201646,3.4,Praise or endorse
20160211,1,2,24,1,40,2,-0.778967868,1,"Consult, not specified below"
20160211,1,2,34,1,51,2,5.641025641,3.4,Praise or endorse
20160211,1,2,41,1,36,10,1.797752809,4,Express intent to meet or negotiate
20160212,1,2,10,1,20,6,-1.105237842,3,"Make an appeal or request, not specified below"
20160212,1,2,27,1,20,12,-2.825601785,3,"Make an appeal or request, not specified below"
20160215,1,2,27,1,26,1,-0.662251656,4,Appeal to others to meet or negotiate
20160215,1,2,45,1,36,4,2.251407129,4,Express intent to meet or negotiate
20160216,1,2,27,1,26,1,-0.675675676,4,Appeal to others to meet or negotiate
20160216,1,2,45,1,36,4,2.251407129,4,Express intent to meet or negotiate
20160217,1,2,13,1,10,10,-1.337792635,0,"Make statement, not specified below"
20160218,1,2,9,1,10,5,-2.643171806,0,"Make statement, not specified below"
20160218,1,2,14,1,30,4,2.374670185,4,"Express intent to cooperate, not specified below"
20160218,1,2,14,1,51,4,2.374670185,3.4,Praise or endorse
20160219,1,2,14,1,30,6,3.424657534,4,"Express intent to cooperate, not specified below"
20160219,1,2,23,1,173,7,-4.263206673,-5,"Arrest, detain, or charge with legal action"
20160219,1,2,45,1,46,10,0,7,Engage in negotiation
20160220,1,2,17,1,10,6,-4.235294118,0,"Make statement, not specified below"
20160220,1,2,30,1,42,8,-0.161030596,1.9,Make a visit
20160220,1,2,40,1,10,3,-1.912045889,0,"Make statement, not specified below"
